"","ExR_43","ExR_57","ExR_62","ExR_65","ExR_69","ExR_72","ExR_76","ExR_79","ExR_83","NGRDI_43","NGRDI_57","NGRDI_62","NGRDI_65","NGRDI_69","NGRDI_72","NGRDI_76","NGRDI_79","NGRDI_83"
"Y351",0.129779427023161,0.123299584219184,0.115574270143148,0.107623367340608,0.0526699808852882,0.0986171396511682,0.062575604051841,0.0801826588765679,0.0727266071680079,0.0295506251402533,0.0490686687447197,0.055569356610002,0.062753029874442,0.121456973262362,0.100010438251722,0.0849410853749974,0.0712404895168316,0.0799818992618246
"Y352",0.139307475662132,0.115800732955736,0.116253393175559,0.105454878187111,0.0446210495537934,0.086651009233855,0.051008779354472,0.0627182358829783,0.0573445751837967,0.0245161528815711,0.0531457425735616,0.0542725384051773,0.0636337312572758,0.125961077697957,0.105310415073758,0.0916972001252096,0.0841895872120261,0.0952494510128761
"Y353",0.133651177702693,0.128198080940404,0.115931276984621,0.114650636645635,0.0800203141680036,0.122632389536255,0.0756795009273855,0.096174215506782,0.0806961619896645,0.0229406559010658,0.0456777928179842,0.054783781529254,0.055276282506981,0.0979888815062221,0.0828623718709806,0.0686079035068554,0.0558624300727422,0.070717619102683
"Y354",0.133554138183322,0.142900406469146,0.111371128419063,0.0964885575728429,0.0838184703252183,0.123460377529555,0.0681136890510147,0.0913452922163063,0.075409635548746,0.0243290616949036,0.0341485871020029,0.0513736206216316,0.0617247968441328,0.0985700409216434,0.0793158687422626,0.0721365063570499,0.0540972585382539,0.0709036510716914
"Y355",0.14056050353572,0.111613946977795,0.112748954770062,0.107081014203764,0.0434733159000107,0.0931117684466556,0.0688289877240938,0.0800744124164189,0.0837769296791505,0.0224839802796622,0.0560317602055566,0.0552542356746948,0.0613618134404278,0.125472442875082,0.101364440539367,0.0810029619673012,0.0726939189984596,0.0716022958251238
"Y356",0.149880837498215,0.131469556911895,0.122597189714258,0.11360520825814,0.0642105576415618,0.105085288903139,0.074800050435548,0.0960905435609457,0.0824836000005468,0.024809315908042,0.0452617220557558,0.0528030549121368,0.059813000741197,0.112472341978453,0.0959830386452031,0.0726000100048626,0.0551815066182896,0.0707734510113533
"Y357",0.15964986392731,0.130016591723895,0.135529420043855,0.113109730636753,0.0736907653615101,0.110257495743126,0.0759907649633725,0.085047271760856,0.0849386556866193,0.0227885402309066,0.043601965561383,0.0464692112447981,0.0610060357476128,0.107999494363434,0.0950121483206759,0.0748326571559703,0.0700555569144571,0.0735268105689868
"Y359",0.164866481456618,0.126890299964549,0.105499468081245,0.0957257078799564,0.0649490728587525,0.106225075566493,0.0654861229037833,0.0766046447021199,0.0707954803354992,0.0216650695456033,0.040793487184456,0.054213816195223,0.0622979592866754,0.107109153854202,0.0873853301999691,0.0735495432942739,0.0702918138052262,0.0782578596923627
"Y360",0.142167007314798,0.126349943672069,0.121381766909356,0.118629237146128,0.07180576114804,0.112059464917772,0.0795393558655326,0.0936647475456953,0.0809344342238493,0.0245663583455425,0.0506126143224735,0.0531519407503477,0.0555861842466695,0.103306389771793,0.0908172043809466,0.0717663112200135,0.0618935617999984,0.0751357614079303
"Y361",0.131920007096872,0.112489473366832,0.105515894577564,0.0974527029422244,0.0355460692898093,0.0718889670668367,0.0518326089953036,0.0674682560761387,0.0670186572097636,0.0288265345949125,0.0568885654742477,0.0616115651901383,0.0671745575335821,0.13095305429823,0.113950559054725,0.0909402707466505,0.0798951231675247,0.0850357013269066
"Y362",0.146426074118566,0.125919687093125,0.118121706444157,0.105979513668329,0.0701850797014895,0.114642732706189,0.0690525450621548,0.0817289549162656,0.0701676708582314,0.0241823527990959,0.0473096729578385,0.052077289384224,0.0597019059121459,0.101712790619513,0.0856656675204158,0.0723973729683487,0.0636014915811328,0.077030279132274
"Y363",0.141963144404719,0.121490611553031,0.121228158492751,0.102967861987862,0.0675919286777929,0.0902130904775489,0.0583067173025486,0.0688380227159753,0.062984933738062,0.0270241770548567,0.047449188786938,0.0494430552370697,0.0627495161794387,0.105342934040829,0.10123776836077,0.0817051229754835,0.0742065501114597,0.0849926854600963
"Y364",0.149863513549786,0.119061798056164,0.111978161928987,0.101325706897802,0.0458993810513873,0.0875209766298905,0.0555873163573695,0.0653045260538469,0.0566984883840994,0.0215046780108766,0.0522577376882528,0.0567959425263809,0.0637928137826327,0.120336864689899,0.101366491790437,0.0819315896508405,0.0777270619877122,0.0917880711549856
"Y365",0.125707591316786,0.106181010689171,0.111102675795325,0.0978500155922478,0.0426576573230499,0.0936347843217004,0.05704437217824,0.0728784096531075,0.0728696505313824,0.0293773146698028,0.0572231764795927,0.0570950460620037,0.0648729560910069,0.125436961027015,0.0973479664608916,0.0798799281777424,0.0647145791300716,0.0681823687541544
